OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00985,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Holdemania(100),
Otu00991,6.6e-05,0,4.8e-05,0,0,0,0.115625,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu00996,6.6e-05,0,3.6e-05,0,0,0,0.115625,0.923356144181256,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Sharpea(100),
Otu00999,0,0,0,4.2e-05,0,2.9e-05,0.500323,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Blautia(85),
Otu01002,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Faecalibacterium(96),
Otu01004,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01006,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01007,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01010,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(99),Anaerocella(99),
Otu01013,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(96),Clostridiales_unclassified(96),
Otu01016,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01018,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01021,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01026,4.4e-05,0,3e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(97),Porphyromonadaceae_unclassified(97),
Otu01028,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01033,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(99),Ruminococcaceae_unclassified(99),
Otu01034,0,0,0,4.2e-05,0,2.9e-05,0.500323,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01035,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01036,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01037,4.4e-05,0,3e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Streptococcaceae(97),Streptococcus(86),
Otu01040,6.6e-05,0,4.8e-05,2.1e-05,0,2.1e-05,0.362673,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01044,0,0,0,4.2e-05,0,4.2e-05,0.500323,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01045,6.6e-05,0,3.6e-05,2.1e-05,0,2.1e-05,0.362673,0.923356144181256,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),
Otu01048,0,0,0,4.2e-05,0,4.2e-05,0.500323,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(90),
Otu01049,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Christensenellaceae(99),Christensenella(99),
Otu01053,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01056,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01057,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01058,0,0,0,4.2e-05,0,4.2e-05,0.500323,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(99),
Otu01059,4.4e-05,0,3e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(99),Paraprevotella(99),
Otu01064,0.00011,0,0.00011,4.2e-05,0,2.9e-05,0.27741,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01068,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(96),Ruminococcaceae_unclassified(96),
Otu01069,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Verrucomicrobia(100),Verrucomicrobiae(100),Verrucomicrobiales(100),Verrucomicrobiaceae(100),Akkermansia(100),
Otu01073,0,0,0,4.2e-05,0,2.9e-05,0.500323,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01075,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01077,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01081,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01082,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Clostridium_XlVb(100),
Otu01083,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01085,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01087,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01092,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01094,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Spirochaetes(100),Spirochaetia(100),Spirochaetales(100),Spirochaetaceae(100),Treponema(100),
Otu01095,6.6e-05,0,6.6e-05,0,0,0,0.115625,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01104,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01106,0,0,0,6.2e-05,0,4.6e-05,0.250485,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(94),
Otu01111,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01112,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
